INFO,,,,sample details,,,,,,,sequencing details,,,genome stats,,,,,,,
Genus,Species,strain/sample ID,,"NCBI
BioSample",sex,stage,"sample
type","material
provider","collection
date","geographic
origin",nanopore,guppy model,Illumina,size (bp),"count
frags",N50 (bp),L50,"QV
(yak)","eQV
(yak)","QV
(PMD)",BUSCO v5 (diptera_odb10)
Diastata,ussurica,DIuss_MT91,D.ussurica,SAMN37596581,female,adult,single fly,Masanori J. Toda,2012-10-09,"Japan: Nametoko-Keikoku, Ehime Pref.",-,-,"NovaSeq X Plus, 2x150","624,454,847","1,486,497",991,"132,968",-,-,-,"C:40.6%[S:40.1%,D:0.5%],F:32.5%,M:26.9%,n:3285"
Drosophila,ustulata,MTK,D.ustulata,SAMN37596427,male,adult,lab strain,Artyom Kopp,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","179,054,326",132,"13,780,150",3,36.635,41.332,-,"C:99.4%[S:98.7%,D:0.7%],F:0.5%,M:0.1%,n:3285"
Drosophila,vallismaia,vallismaia_AK-JD,D.vallismaia,SAMN37596430,male,adult,lab strain,Artyom Kopp,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","171,530,783",94,"21,241,113",4,34.07,34.07,-,"C:99.6%[S:99.2%,D:0.4%],F:0.2%,M:0.2%,n:3285"
Drosophila,villosipedis,Dvil_DKP,D.villosipedis,SAMN37596477,male,adult,single fly,Donald K. Price,2010-01,"USA: Nualolo Trail, Kauai, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","134,573,727",109,"12,713,188",5,34.883,34.883,-,"C:99.4%[S:98.9%,D:0.5%],F:0.4%,M:0.2%,n:3285"
Drosophila,yakuba,14021-0261.01,D.yakuba,SAMN37596501,male,adult,lab strain,Artyom Kopp,1983,Cote d'Ivoire,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","146,729,826",95,"20,177,370",4,36.194,36.352,-,"C:99.8%[S:99.5%,D:0.3%],F:0.2%,M:0.0%,n:3285"
Drosophila,yooni,Dyoo_DKP,D.yooni,SAMN37596473,male,adult,single fly,Donald K. Price,2007,"USA: Hawaii, HI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","137,805,860",1098,"1,734,321",24,30.731,30.731,-,"C:98.0%[S:97.1%,D:0.9%],F:0.9%,M:1.1%,n:3285"
Hirtodrosophila,alboralis,Halb_MT24,H.alboralis,SAMN37596525,female,adult,single fly,Masanori Toda,2014-10-29,"Japan: Shimokita, Aomori Pref.","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","179,590,224",917,"662,201",72,38.813,38.762,-,"C:95.9%[S:94.6%,D:1.3%],F:2.7%,M:1.4%,n:3285"
Hirtodrosophila,caputudis,Hcap_MT172,H.caputudis,SAMN37596583,female,adult,single fly,Masanori J. Toda,2008-03-19,"Malaysia: Poring, Sabah",-,-,"NovaSeq X Plus, 2x150","267,203,923","657,696",682,"90,460",-,-,-,"C:37.7%[S:37.2%,D:0.5%],F:35.3%,M:27.0%,n:3285"
Hirtodrosophila,confusa,Hcon_DO21,H.confusa,SAMN37596460,female,adult,single fly,Darren J. Obbard,2021-10,"United Kingdom: Hermitage of Braid, Edinburgh, Scotland","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","213,335,717",245,"6,095,536",9,33.724,37.261,-,"C:99.3%[S:98.4%,D:0.9%],F:0.7%,M:0.0%,n:3285"
Hirtodrosophila,duncani,Hdun_TW21,H.duncani,SAMN37596466,female,adult,single fly,Thomas Werner,2021-06,"USA: Huron Mountains, MI","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","207,801,326",840,"3,366,531",17,38.648,45.409,-,"C:99.1%[S:98.5%,D:0.6%],F:0.6%,M:0.3%,n:3285"
Hypselothyrea,guttata,Hgut_MT124,H.guttata,SAMN37596522,female,adult,single fly,Masanori Toda,2008-03-03,"Malaysia: PHQ, Mt. Kinabolu, Sabah","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","182,534,749",2466,"416,894",104,39.057,39.1,-,"C:97.9%[S:96.3%,D:1.6%],F:1.7%,M:0.4%,n:3285"
Hirtodrosophila,histrioides,Hhis_TK,H.histrioides,SAMN37596433,male,adult,lab strain,Toru Katoh,missing,missing,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","204,287,912",846,"1,459,694",29,30.483,30.659,-,"C:99.0%[S:98.3%,D:0.7%],F:0.7%,M:0.3%,n:3285"
Hirtodrosophila,trivittata,Htri_DO,H.trivittata,SAMN37596487,female,adult,single fly,Darren J. Obbard,2020-08-07,"United Kingdom: Penns in the Rocks, East Sussex, England","R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","167,043,391",1487,"7,939,222",7,31.77,31.77,-,"C:99.1%[S:98.0%,D:1.1%],F:0.5%,M:0.4%,n:3285"
Hirtodrosophila,uokogiri,Huok_MT27,H.uokogiri,SAMN37596580,female,adult,single fly,Masanori J. Toda,2008-08,Japan: Tomakomai,-,-,"NovaSeq X Plus, 2x150","454,292,980","1,971,586",346,"251,408",-,-,-,"C:28.7%[S:28.2%,D:0.5%],F:38.2%,M:33.1%,n:3285"
Liodrosophila,aerea,Laer_MT83,L.aerea,SAMN37596523,female,adult,single fly,Masanori Toda,2012-10-08,"Japan: Mt. Miyukij, Matsuyama, Ehime Prefecture","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","158,262,486",1518,"829,670",50,40.509,40.648,-,"C:98.6%[S:97.7%,D:0.9%],F:1.2%,M:0.2%,n:3285"
Liodrosophila,aerea,Laer_TM23,L.aerea,SAMN37596576,female,adult,single fly,Teruyuki Matsunaga,2022,Japan,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","168,679,148",822,"713,299",52,40.247,40.247,-,"C:98.8%[S:98.0%,D:0.8%],F:1.0%,M:0.2%,n:3285"
Lordiphosa,andalusiaca,Land_DO,L.andalusiaca,SAMN37596572,female,adult,single fly,Darren J. Obbard,2021-08-20,"United Kingdom: Edinburgh, Scotland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","256,791,629",3759,"882,951",53,42.588,42.572,-,"C:99.1%[S:98.2%,D:0.9%],F:0.8%,M:0.1%,n:3285"
Lordiphosa,collinella,UCKTSapporo052019LC,L.collinella,SAMN37596518,female,adult,single fly,Artyom Kopp,2019,"Japan: Sapporo, Hokkaido","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","444,496,639",6574,"144,940",784,36.015,35.966,-,"C:94.5%[S:91.0%,D:3.5%],F:5.2%,M:0.3%,n:3285"
Lordiphosa,fenestrarum,Lfen_DO,L.fenestrarum,SAMN37596512,male,adult,single fly,Darren J. Obbard,2021-08-20,"United Kingdom: Edinburgh, Scotland","R10.4.1, LSK114",dna_r10.4.1_e8.2_260bps_sup.cfg,-,"292,263,876",7006,"366,076",151,-,-,49.808,"C:98.5%[S:97.4%,D:1.1%],F:1.3%,M:0.2%,n:3285"
Leucophenga,maculata,Lmac_DO,L.maculata,SAMN37596571,female,adult,single fly,Darren J. Obbard,2020-08-15,"United Kingdom: Hermitage of Braid, Edinburgh, Scotland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","354,844,425",3938,"1,242,416",72,37.268,37.268,-,"C:97.7%[S:96.6%,D:1.1%],F:1.0%,M:1.3%,n:3285"
Lordiphosa,magnipectinata,UCKTSapporo052019LM,L.magnipectinata,SAMN37596517,female,adult,single fly,Artyom Kopp,2019,"Japan: Sapporo, Hokkaido","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","493,136,655",4696,"304,771",421,35.913,35.913,-,"C:94.9%[S:92.1%,D:2.8%],F:4.7%,M:0.4%,n:3285"
Leucophenga,montana,Lmon_TW-CO22-6,L.montana,SAMN37596570,male,adult,single fly,Thomas Werner,2022-07,"United States: Flatiron Campground, CO","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","402,073,277",2149,"821,592",129,31.575,31.575,-,"C:95.7%[S:94.1%,D:1.6%],F:1.1%,M:3.2%,n:3285"
Lissocephala,sabroskyi,Lsab_MT150,L.sabroskyi,SAMN37596589,male,adult,single fly,Masanori J. Toda,2008-06-17,"Indonesia: Bogor, West Java",-,-,"NovaSeq X Plus, 2x150","143,599,790","95,845","22,029","1,443",-,-,-,"C:92.0%[S:91.3%,D:0.7%],F:3.5%,M:4.5%,n:3285"
Microdrosophila,cristata,Mcri_MT41,M.cristata,SAMN37596586,female,adult,single fly,Masanori J. Toda,2012-05-30,Japan: Sapporo,-,-,"NovaSeq X Plus, 2x150","335,109,345","976,650",583,"131,291",-,-,-,"C:29.0%[S:28.6%,D:0.4%],F:36.7%,M:34.3%,n:3285"
Mulgravea,parasiatica,Mpar_MT130,M.parasiatica,SAMN37596587,male,adult,single fly,Masanori J. Toda,2012-06-23,"Indonesia: Bogor, West Java",-,-,"NovaSeq X Plus, 2x150","327,384,094","1,115,081",461,"128,376",-,-,-,"C:39.3%[S:37.7%,D:1.6%],F:33.2%,M:27.5%,n:3285"
Mycodrosophila,poecilogastra,Mpoe_MT45,M.poecilogastra,SAMN37596591,female,adult,single fly,Masanori J. Toda,2008-08,"Japan: Nametoko-Keikoku, Ehime Pref.",-,-,"NovaSeq X Plus, 2x150","214,118,880","517,837","1,481","19,009",-,-,-,"C:86.7%[S:86.2%,D:0.5%],F:7.9%,M:5.4%,n:3285"
Phorticella,flavipennis,Pfla_MT158,P.flavipennis,SAMN37596577,male,adult,single fly,Masanori J. Toda,2017-03-04,Japan: Iriomote-jima,-,-,"NovaSeq X Plus, 2x150","374,826,654","1,097,365",648,"99,452",-,-,-,"C:47.3%[S:46.4%,D:0.9%],F:27.1%,M:25.6%,n:3285"
Phortica,magna,Pmag_MT84,P.magna,SAMN37596524,female,adult,single fly,Masanori Toda,2009-10-15,"Japan: Hirai, Wakayama Pref.","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","147,860,748",3385,"227,811",179,35.529,36.933,-,"C:80.5%[S:79.4%,D:1.1%],F:0.9%,M:18.6%,n:3285"
Scaptomyza,caliginosa,Scal_SHC-C164,S.caliginosa,SAMN37596555,female,adult,single fly,Samuel H. Church,2022-10-22,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","115,693,153",1116,"961,642",35,35.709,34.044,-,"C:97.7%[S:97.2%,D:0.5%],F:1.4%,M:0.9%,n:3285"
Scaptomyza,cyrtandrae,Scyr_SHC-C002,S.cyrtandrae,SAMN37596552,male,adult,single fly,Samuel H. Church,2022-10-10,"USA: Pu'u Maka'ala Natural Area Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","147,768,519",670,"14,667,169",4,45.289,45.478,-,"C:99.2%[S:98.6%,D:0.6%],F:0.5%,M:0.3%,n:3285"
Sphaerogastrella,javana,Sjav_MT119,S.javana,SAMN37596578,female,adult,single fly,Masanori J. Toda,2012-06-26,"Indonesia: Bogor, W. Java",-,-,"NovaSeq X Plus, 2x150","275,987,031","399,292","3,497","11,520",-,-,-,"C:91.4%[S:90.2%,D:1.2%],F:5.0%,M:3.6%,n:3285"
Scaptodrosophila,latifasciaeformis,11030-0061.01,S.latifasciaeformis,SAMN37596418,male,adult,lab strain,Patrick M. O'Grady,1955,Panama,"R9.4.1, LSK110",dna_r9.4.1_450bps_sup.cfg,"NovaSeq S4, 2x150","154,487,965",911,"9,811,568",4,38.28,38.475,-,"C:99.4%[S:99.1%,D:0.3%],F:0.4%,M:0.2%,n:3285"
Stegana,nigrithorax,Snig_MT107,S.nigrithorax,SAMN37596527,male,adult,single fly,Masanori Toda,2008-08,Japan: Tomakomai,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","187,957,653",5726,"295,649",130,42.43,42.577,-,"C:95.2%[S:94.3%,D:0.9%],F:0.6%,M:4.2%,n:3285"
Scaptomyza,parva,Spar_SHC-C083,S.parva,SAMN37596556,female,adult,single fly,Samuel H. Church,2022-10-18,"USA: Upper Waiakea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","140,815,053",144,"15,656,414",4,48.493,48.534,-,"C:99.5%[S:98.8%,D:0.7%],F:0.4%,M:0.1%,n:3285"
Scaptomyza,polygonia,Spol_TM,S.polygonia,SAMN37596519,female,adult,single fly,Teruyuki Matsunaga,2022,Japan,"R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","202,555,330",2393,"1,122,002",31,43.159,44.673,-,"C:99.0%[S:98.1%,D:0.9%],F:0.8%,M:0.2%,n:3285"
Scaptomyza,reducta,Sred_SHC-C122,S.reducta,SAMN37596554,male,adult,single fly,Samuel H. Church,2022-10-22,"USA: Volcanoes National Park, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","151,070,787",1399,"497,420",66,31.097,31.097,-,"C:98.9%[S:98.1%,D:0.8%],F:0.5%,M:0.6%,n:3285"
Scaptodrosophila,scaptomyzoidea,Ssca_MT71,S.scaptomyzoidea,SAMN37596584,female,adult,single fly,Masanori J. Toda,2012-12-02,Guam: Hamamoto TFW,-,-,"NovaSeq X Plus, 2x150","281,803,335","1,029,599",423,"121,858",-,-,-,"C:40.8%[S:40.3%,D:0.5%],F:33.8%,M:25.4%,n:3285"
Scaptomyza,tumidula,Stum_SHC-C153,S.tumidula,SAMN37596553,male,adult,single fly,Samuel H. Church,2022-10-25,"USA: Upper Waikea Forest Reserve, HI","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","137,900,958",1190,"3,595,045",10,40.114,40.114,-,"C:98.6%[S:98.1%,D:0.5%],F:0.9%,M:0.5%,n:3285"
Zaprionus,bogoriensis,PL 11,Z.bogoriensis,SAMN37596509,female,adult,lab strain,Jan Hrcek,2017,"Australia: Paluma, Queensland","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","160,681,560",236,"2,433,529",20,43.456,43.456,-,"C:99.7%[S:99.1%,D:0.6%],F:0.1%,M:0.2%,n:3285"
Zaprionus,cf. lineosus,Zlin_MT215,Z.cf. lineosus,SAMN37596520,male,adult,single fly,Masanori J. Toda,2010-02-08,"Indonesia: Camp 8, Tofu Bluewen, Harmahera",-,-,"NovaSeq X Plus, 2x150","388,327,188","265,956",312,"265,956",-,-,-,"C:44.5%[S:43.7%,D:0.8%],F:29.5%,M:26.0%,n:3285"
Zygothrica,flavofinira,Zfla_MT450,Z.flavofinira,SAMN37596590,female,adult,single fly,Masanori Toda,2009-11-06,"Indonesia: Cinkaniki, Gn. Halimum, W. Java","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","150,172,222",710,"1,310,356",33,43.64,43.602,-,"C:97.1%[S:96.5%,D:0.6%],F:1.2%,M:1.7%,n:3285"
Zaprionus,obscuricornis,Zobs_MT162,Z.obscuricornis,SAMN37596521,female,adult,single fly,Masanori Toda,2008-06-12,"Indonesia: Bogor, W. Java","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","164,064,038",7335,"53,364",842,33.564,33.682,-,"C:71.9%[S:69.1%,D:2.8%],F:7.7%,M:20.4%,n:3285"
Zygothrica,quintamaculata,Zqui_MT42,Z.quintamaculata,SAMN37596526,female,adult,single fly,Masanori Toda,2008-03-10,"Malaysia: PHQ, Mt. Kinabolu, Sabah","R10.4.1, LSK114",dna_r10.4.1_e8.2_400bps_sup.cfg,"NovaSeq X Plus, 2x150","157,388,235",2858,"228,427",195,37.295,37.742,-,"C:88.1%[S:86.6%,D:1.5%],F:3.4%,M:8.5%,n:3285"
